x-axis,1,2,F1
second,Volt,Volt,Volt
-37.15000E-06,-630.86592884E-03,-389.23922637E-03,-241.54755833E-03
-37.10000E-06,-630.81252723E-03,-388.19135031E-03,-242.54964235E-03
-37.05000E-06,-631.00413457E-03,-386.92371698E-03,-243.99053144E-03
-37.00000E-06,-631.10523543E-03,-385.10773443E-03,-245.92529524E-03
-36.95000E-06,-631.14732278E-03,-383.72137683E-03,-247.34976141E-03
-36.90000E-06,-631.65737617E-03,-381.49337764E-03,-250.08275713E-03
-36.85000E-06,-631.78676266E-03,-380.38584360E-03,-251.32720636E-03
-36.80000E-06,-631.76596961E-03,-378.62198876E-03,-253.06897566E-03
-36.75000E-06,-632.38978737E-03,-376.58559691E-03,-255.72290956E-03
-36.70000E-06,-632.54952862E-03,-375.38939939E-03,-257.07723438E-03
-36.65000E-06,-632.91124169E-03,-373.83114206E-03,-258.99334046E-03
-36.60000E-06,-632.49843358E-03,-372.03278290E-03,-260.37684660E-03
-36.55000E-06,-632.66836972E-03,-371.07853021E-03,-261.49541451E-03
-36.50000E-06,-633.32543676E-03,-369.11709056E-03,-264.12434724E-03
-36.45000E-06,-632.81722260E-03,-367.40933963E-03,-265.31710540E-03
-36.40000E-06,-633.43961195E-03,-366.15957091E-03,-267.19377022E-03
-36.35000E-06,-634.01671037E-03,-364.54785921E-03,-269.38216464E-03
-36.30000E-06,-634.22103022E-03,-363.11667803E-03,-271.00975399E-03
-36.25000E-06,-633.99026774E-03,-362.09737781E-03,-271.81506181E-03
-36.20000E-06,-633.92298149E-03,-359.97228856E-03,-273.85235928E-03
-36.15000E-06,-634.09972426E-03,-358.51945503E-03,-275.49061403E-03
-36.10000E-06,-634.46719622E-03,-357.06479735E-03,-277.30667437E-03
-36.05000E-06,-633.99026774E-03,-355.43928392E-03,-278.45844438E-03
-36.00000E-06,-634.47842755E-03,-354.26641215E-03,-280.12213625E-03
-35.95000E-06,-634.47935847E-03,-352.44796850E-03,-281.93353245E-03
-35.90000E-06,-634.86202288E-03,-351.10007635E-03,-283.66458478E-03
-35.85000E-06,-635.19657346E-03,-349.26232083E-03,-285.84634160E-03
-35.80000E-06,-635.04417404E-03,-348.22917366E-03,-286.72064701E-03
-35.75000E-06,-635.20768796E-03,-346.54143939E-03,-288.56543397E-03
-35.70000E-06,-635.65460465E-03,-345.03823822E-03,-290.51227062E-03
-35.65000E-06,-635.98572929E-03,-343.11336824E-03,-292.77336816E-03
-35.60000E-06,-636.33111924E-03,-342.13177591E-03,-294.10667037E-03
-35.55000E-06,-635.92703991E-03,-340.99339339E-03,-294.82604088E-03
-35.50000E-06,-636.30428087E-03,-339.11348268E-03,-297.09343500E-03
-35.45000E-06,-636.31645820E-03,-338.13742310E-03,-298.06768068E-03
-35.40000E-06,-636.26727777E-03,-336.41597975E-03,-299.74965879E-03
-35.35000E-06,-636.26727777E-03,-335.28045029E-03,-300.89561386E-03
-35.30000E-06,-636.96187932E-03,-334.24260329E-03,-302.61918599E-03
-35.25000E-06,-636.97393605E-03,-332.14946681E-03,-304.72605177E-03
-35.20000E-06,-636.99877690E-03,-331.39140443E-03,-305.50127707E-03
-35.15000E-06,-637.28800640E-03,-329.72708260E-03,-307.45390405E-03
-35.10000E-06,-637.52238703E-03,-327.85439311E-03,-309.56597537E-03
-35.05000E-06,-637.48154341E-03,-327.33431067E-03,-310.04613892E-03
-35.00000E-06,-637.36218221E-03,-325.67667487E-03,-311.57045747E-03
-34.95000E-06,-637.47837376E-03,-324.22396194E-03,-313.15557153E-03
-34.90000E-06,-638.15169986E-03,-323.29575615E-03,-314.74715679E-03
-34.85000E-06,-637.92827543E-03,-321.78674709E-03,-316.03275823E-03
-34.80000E-06,-638.18980348E-03,-320.78839068E-03,-317.29582182E-03
-34.75000E-06,-638.44859531E-03,-319.10662258E-03,-319.23543023E-03
-34.70000E-06,-638.60433775E-03,-317.41041581E-03,-321.07577689E-03
-34.65000E-06,-638.11288768E-03,-316.77027116E-03,-321.24239792E-03
-34.60000E-06,-639.12795165E-03,-315.05550630E-03,-323.95369485E-03
-34.55000E-06,-638.63520884E-03,-313.38410646E-03,-325.13134145E-03
-34.50000E-06,-638.76712804E-03,-312.83623966E-03,-325.81670359E-03
-34.45000E-06,-638.73915146E-03,-310.70594932E-03,-327.91797475E-03
-34.40000E-06,-639.21136127E-03,-309.92444059E-03,-329.16796469E-03
-34.35000E-06,-639.54115926E-03,-308.72266509E-03,-330.70995891E-03
-34.30000E-06,-639.46916941E-03,-307.33587784E-03,-332.01653257E-03
-34.25000E-06,-639.50524160E-03,-306.00443696E-03,-333.38443378E-03
-34.20000E-06,-639.36553585E-03,-304.68856918E-03,-334.56603082E-03
-34.15000E-06,-639.22702107E-03,-303.38346917E-03,-335.73088503E-03
-34.10000E-06,-639.78961298E-03,-302.37552089E-03,-337.30675870E-03
-34.05000E-06,-640.35179408E-03,-301.25228183E-03,-338.97418540E-03
-34.00000E-06,-639.62165552E-03,-299.57858673E-03,-339.92659284E-03
-33.95000E-06,-640.56066300E-03,-298.48866101E-03,-341.94958501E-03
-33.90000E-06,-640.38946805E-03,-296.90571735E-03,-343.36804288E-03
